bucket_utc,listing_type,id,downloads
2026-08-22T23:00Z,map,metz-nancy,2
2026-08-22T23:00Z,map,nantes,2
2026-08-22T23:00Z,map,orleans,2
2026-08-22T23:00Z,map,pau,2
2026-08-22T23:00Z,map,reims,2
2026-08-22T23:00Z,map,rennes,2
2026-08-22T23:00Z,map,rouen,2
2026-08-22T23:00Z,map,tours,2
2026-08-22T23:00Z,map,troyes,2
2026-08-22T23:00Z,map,vancouver,1
2026-08-22T23:00Z,map,yukina-ee-ida-viru,1
2026-08-22T23:00Z,map,yukina-ee-tartu,1
2026-08-22T23:00Z,map,yukina-lv-daugavpils,1
2026-08-22T23:00Z,map,yukina-osaka,1
2026-08-22T23:00Z,map,yukina-pl-czestochowa,1
2026-08-22T23:00Z,map,yukina-pl-gdansk,1
2026-08-22T23:00Z,map,yukina-pl-katowice-gzm,2
2026-08-22T23:00Z,map,yukina-pl-krakow,1
2026-08-22T23:00Z,map,yukina-pl-olsztyn,2
2026-08-22T23:00Z,map,yukina-pl-plock-wloclawek,1
2026-08-22T23:00Z,map,yukina-pl-poznan,1
2026-08-22T23:00Z,map,yukina-pl-warszawa,2
2026-08-22T23:00Z,mod,auto-lines,1
2026-08-22T23:00Z,mod,improved-schematics,2
2026-08-22T23:00Z,mod,induced-demand,1
2026-08-22T23:00Z,mod,neighborhood-station-names,1
2026-08-22T23:00Z,mod,orbital-surveyor,1
2026-08-22T23:00Z,mod,track-anarchy,2
2026-08-23T00:00Z,map,abu-dhabi,1
2026-08-23T00:00Z,map,alexandria,1
2026-08-23T00:00Z,map,amsterdam,1
2026-08-23T00:00Z,map,au-syd2,1
2026-08-23T00:00Z,map,beirut,1
2026-08-23T00:00Z,map,berlin-val,6
2026-08-23T00:00Z,map,cape-town,1
2026-08-23T00:00Z,map,ciudad-de-mexico,1
2026-08-23T00:00Z,map,eurodistrict-bale,2
2026-08-23T00:00Z,map,glasgow-edinburgh,1
2026-08-23T00:00Z,map,grand-geneve,2
2026-08-23T00:00Z,map,greater-los-angeles,1
2026-08-23T00:00Z,map,guadeloupe,2
2026-08-23T00:00Z,map,guyane,2
2026-08-23T00:00Z,map,istanbul,1
2026-08-23T00:00Z,map,jelegend-tokyo,1
2026-08-23T00:00Z,map,lille,3
2026-08-23T00:00Z,map,lyon,3
2026-08-23T00:00Z,map,marseille,1
2026-08-23T00:00Z,map,mfn-hong-kong,1
2026-08-23T00:00Z,map,milan,1
2026-08-23T00:00Z,map,muscat,1
2026-08-23T00:00Z,map,nantes,2
2026-08-23T00:00Z,map,palma-de-mallorca,1
2026-08-23T00:00Z,map,paris-ile-de-france,2
2026-08-23T00:00Z,map,pays-basque,2
2026-08-23T00:00Z,map,quebec-city,1
2026-08-23T00:00Z,map,rennes,1
2026-08-23T00:00Z,map,reunion,1
2026-08-23T00:00Z,map,rome,1
2026-08-23T00:00Z,map,tijuana-san-diego,1
2026-08-23T00:00Z,map,toronto,2
2026-08-23T00:00Z,map,vancouver,1
2026-08-23T00:00Z,map,vienna,2
2026-08-23T00:00Z,map,winnipeg,1
2026-08-23T00:00Z,map,yukina-bydgoszcz-torun,1
2026-08-23T00:00Z,map,yukina-cz-praha,1
2026-08-23T00:00Z,map,yukina-ee-ida-viru,1
2026-08-23T00:00Z,map,yukina-ee-parnu,1
2026-08-23T00:00Z,map,yukina-ee-tallinn,2
2026-08-23T00:00Z,map,yukina-ee-tartu,1
2026-08-23T00:00Z,map,yukina-lt-vilnius,1
2026-08-23T00:00Z,map,yukina-lv-daugavpils,1
2026-08-23T00:00Z,map,yukina-lv-liepaja,1
2026-08-23T00:00Z,map,yukina-lv-riga,3
2026-08-23T00:00Z,map,yukina-osaka,2
2026-08-23T00:00Z,map,yukina-pl-bialystok,1
2026-08-23T00:00Z,map,yukina-pl-central-pomerania,1
2026-08-23T00:00Z,map,yukina-pl-czestochowa,1
2026-08-23T00:00Z,map,yukina-pl-gdansk,1
2026-08-23T00:00Z,map,yukina-pl-katowice-gzm,1
2026-08-23T00:00Z,map,yukina-pl-kielce,1
2026-08-23T00:00Z,map,yukina-pl-krakow,1
2026-08-23T00:00Z,map,yukina-pl-legnica,1
2026-08-23T00:00Z,map,yukina-pl-lodz,1
2026-08-23T00:00Z,map,yukina-pl-lublin,1
2026-08-23T00:00Z,map,yukina-pl-olsztyn,1
2026-08-23T00:00Z,map,yukina-pl-opole,1
2026-08-23T00:00Z,map,yukina-pl-plock-wloclawek,1
2026-08-23T00:00Z,map,yukina-pl-warszawa,1
2026-08-23T00:00Z,map,yukina-tokyo,1
2026-08-23T00:00Z,map,yukina-tw-taipei,2
2026-08-23T00:00Z,map,yukina-yamagata,1
2026-08-23T00:00Z,map,zurich,4
2026-08-23T00:00Z,mod,auto-lines,2
2026-08-23T00:00Z,mod,citymapper,1
2026-08-23T00:00Z,mod,danield1909-realism-pathfinding,1
2026-08-23T00:00Z,mod,induced-demand,2
2026-08-23T00:00Z,mod,intercity-hsr-trains,1
2026-08-23T00:00Z,mod,lrt-trains,1
2026-08-23T00:00Z,mod,missed-connections,1
2026-08-23T00:00Z,mod,network-status,1
2026-08-23T00:00Z,mod,scrollable-dropdowns,1
2026-08-23T00:00Z,mod,subwaybuilder-regions,1
2026-08-23T00:00Z,mod,track-anarchy,1
2026-08-23T00:00Z,mod,transit-overlay,3
2026-08-23T01:00Z,map,ankara,1
2026-08-23T01:00Z,map,antalya,1
2026-08-23T01:00Z,map,au-brisbane,1
2026-08-23T01:00Z,map,au-melbourne,2
2026-08-23T01:00Z,map,istanbul,1
2026-08-23T01:00Z,map,orange-county,1
2026-08-23T01:00Z,map,santa-barbara,1
2026-08-23T01:00Z,map,singapore-val,1
2026-08-23T01:00Z,map,yukina-pl-krakow,1
2026-08-23T01:00Z,mod,auto-lines,1
2026-08-23T01:00Z,mod,danield1909-realism-pathfinding,1
2026-08-23T01:00Z,mod,game-speedup,1
2026-08-23T01:00Z,mod,improved-schematics,1
2026-08-23T01:00Z,mod,induced-demand,1
2026-08-23T01:00Z,mod,subwaybuilder-regions,1
2026-08-23T01:00Z,mod,track-anarchy,1
2026-08-23T01:00Z,mod,train-anarchy,1
2026-08-23T01:00Z,mod,transit-overlay,1
2026-08-23T02:00Z,map,alexandria,1
2026-08-23T02:00Z,map,eurodistrict-bale,1
2026-08-23T02:00Z,map,opo-pt-metropolitan,1
2026-08-23T02:00Z,map,vancouver,1
2026-08-23T02:00Z,mod,any-money,1
2026-08-23T02:00Z,mod,auto-lines,2
2026-08-23T02:00Z,mod,distance-circles,1
2026-08-23T02:00Z,mod,game-speedup,1
2026-08-23T02:00Z,mod,neighborhood-station-names,1
2026-08-23T02:00Z,mod,orbital-surveyor,1
2026-08-23T02:00Z,mod,satellite-overlay,1
2026-08-23T02:00Z,mod,station-dots,1
2026-08-23T02:00Z,mod,transit-overlay,1
2026-08-23T03:00Z,map,akron-oh,1
2026-08-23T03:00Z,map,albany,1
2026-08-23T03:00Z,map,amiens,1
2026-08-23T03:00Z,map,anchorage-ak,1
2026-08-23T03:00Z,map,angers,1
2026-08-23T03:00Z,map,arc-mediterraneen,1
2026-08-23T03:00Z,map,baltimore-dc-corridor,2
2026-08-23T03:00Z,map,besancon,1
2026-08-23T03:00Z,map,buffalo-ny,1
2026-08-23T03:00Z,map,caen,1
2026-08-23T03:00Z,map,calais-dunkerque,1
2026-08-23T03:00Z,map,charleston-huntington-wv,1
2026-08-23T03:00Z,map,charleston-sc,1
2026-08-23T03:00Z,map,ciudad-de-mexico,1
2026-08-23T03:00Z,map,colorado-ski-country,1
2026-08-23T03:00Z,map,connecticut-usa,1
2026-08-23T03:00Z,map,corse,1
2026-08-23T03:00Z,map,dayton-oh,1
2026-08-23T03:00Z,map,daytonatti,1
2026-08-23T03:00Z,map,grand-geneve,1
2026-08-23T03:00Z,map,jerusalem,1
2026-08-23T03:00Z,map,johor-bahru,1
2026-08-23T03:00Z,map,la-rochelle,1
2026-08-23T03:00Z,map,lille,2
2026-08-23T03:00Z,map,louisville,1
2026-08-23T03:00Z,map,lyon,1
2026-08-23T03:00Z,map,marseille,1
2026-08-23T03:00Z,map,metz-nancy,1
2026-08-23T03:00Z,map,mfn-hong-kong,1
2026-08-23T03:00Z,map,mfn-lasvegas,1
2026-08-23T03:00Z,map,mfn-madisonwi,1
2026-08-23T03:00Z,map,mfn-msy,1
2026-08-23T03:00Z,map,mfn-northwestar,1
2026-08-23T03:00Z,map,mfn-rdu,1
2026-08-23T03:00Z,map,nantes,1
2026-08-23T03:00Z,map,nashville,1
2026-08-23T03:00Z,map,pays-basque,1
2026-08-23T03:00Z,map,piedmont-triad,1
2026-08-23T03:00Z,map,providence,1
2026-08-23T03:00Z,map,pulau-pinang,1
2026-08-23T03:00Z,map,rennes,1
2026-08-23T03:00Z,map,rouen,1
2026-08-23T03:00Z,map,sacramento,1
2026-08-23T03:00Z,map,strasbourg,1
2026-08-23T03:00Z,map,sydney,1
2026-08-23T03:00Z,map,syracuse-ny,1
2026-08-23T03:00Z,map,toledo-oh,1
2026-08-23T03:00Z,map,toronto,1
2026-08-23T03:00Z,map,warsaw-val,1
2026-08-23T03:00Z,map,willamette-valley,1
2026-08-23T03:00Z,map,wilmington-nc,1
2026-08-23T03:00Z,map,yukina-fukuoka,1
2026-08-23T03:00Z,map,yukina-kumamoto,1
2026-08-23T03:00Z,map,yukina-lv-riga,1
2026-08-23T03:00Z,map,yukina-osaka,1
2026-08-23T03:00Z,map,yukina-pl-lodz,1
2026-08-23T03:00Z,map,yukina-pl-poznan,1
2026-08-23T03:00Z,map,yukina-pl-wroclaw,1
2026-08-23T03:00Z,map,yukina-shizuoka-hamamatsu,1
2026-08-23T03:00Z,mod,auto-lines,3
2026-08-23T03:00Z,mod,basedgoat-trains,1
2026-08-23T03:00Z,mod,danield1909-realism-pathfinding,1
2026-08-23T03:00Z,mod,dantrains-abridged,3
2026-08-23T03:00Z,mod,distance-circles,1
2026-08-23T03:00Z,mod,game-speedup,1
2026-08-23T03:00Z,mod,hide-and-seek,1
2026-08-23T03:00Z,mod,induced-demand,3
2026-08-23T03:00Z,mod,map-markers,1
2026-08-23T03:00Z,mod,orbital-surveyor,1
2026-08-23T03:00Z,mod,simple-trains,1
2026-08-23T03:00Z,mod,subwaybuilder-regions,1
2026-08-23T03:00Z,mod,track-visualizer,1
2026-08-23T04:00Z,map,alexandria,1
2026-08-23T04:00Z,map,amiens,1
2026-08-23T04:00Z,map,angers,1
2026-08-23T04:00Z,map,arc-mediterraneen,2
2026-08-23T04:00Z,map,au-canberra,1
2026-08-23T04:00Z,map,barcelona,1
2026-08-23T04:00Z,map,beijing,1
2026-08-23T04:00Z,map,besancon,2
2026-08-23T04:00Z,map,bilbao,1
2026-08-23T04:00Z,map,brest,2
2026-08-23T04:00Z,map,caen,1
2026-08-23T04:00Z,map,calais-dunkerque,1
2026-08-23T04:00Z,map,chongqing,1
2026-08-23T04:00Z,map,corse,3
2026-08-23T04:00Z,map,dijon,2
2026-08-23T04:00Z,map,eurodistrict-bale,3
2026-08-23T04:00Z,map,grand-geneve,4
2026-08-23T04:00Z,map,guadeloupe,2
2026-08-23T04:00Z,map,guangzhou,2
2026-08-23T04:00Z,map,guyane,2
2026-08-23T04:00Z,map,istanbul,1
2026-08-23T04:00Z,map,jelegend-tokyo,1
2026-08-23T04:00Z,map,la-rochelle,1
2026-08-23T04:00Z,map,le-havre,2
2026-08-23T04:00Z,map,le-mans,2
2026-08-23T04:00Z,map,lille,1
2026-08-23T04:00Z,map,limoges,2
2026-08-23T04:00Z,map,lyon,1
2026-08-23T04:00Z,map,madrid,2
2026-08-23T04:00Z,map,marseille,2
2026-08-23T04:00Z,map,martinique,2
2026-08-23T04:00Z,map,metz-nancy,1
2026-08-23T04:00Z,map,mfn-hong-kong,1
2026-08-23T04:00Z,map,montreal,1
2026-08-23T04:00Z,map,nantes,1
2026-08-23T04:00Z,map,nz-christchurch,1
2026-08-23T04:00Z,map,nz-wellington,1
2026-08-23T04:00Z,map,orleans,2
2026-08-23T04:00Z,map,paris-ile-de-france,1
2026-08-23T04:00Z,map,pau,2
2026-08-23T04:00Z,map,pays-basque,1
2026-08-23T04:00Z,map,reims,2
2026-08-23T04:00Z,map,rennes,2
2026-08-23T04:00Z,map,reunion,1
2026-08-23T04:00Z,map,rouen,1
2026-08-23T04:00Z,map,seoul,1
2026-08-23T04:00Z,map,shanghai,1
2026-08-23T04:00Z,map,shenzhen,2
2026-08-23T04:00Z,map,south-florida,1
2026-08-23T04:00Z,map,strasbourg,2
2026-08-23T04:00Z,map,tehran,1
2026-08-23T04:00Z,map,toronto,2
2026-08-23T04:00Z,map,toulouse,1
2026-08-23T04:00Z,map,tours,2
2026-08-23T04:00Z,map,troyes,2
2026-08-23T04:00Z,map,valencia,1
2026-08-23T04:00Z,map,vancouver,1
2026-08-23T04:00Z,map,yukina-fukuoka,1
2026-08-23T04:00Z,map,yukina-hiroshima-kure,2
2026-08-23T04:00Z,map,yukina-keihanshin,2
2026-08-23T04:00Z,map,yukina-kitakyushu-shimonoseki,1
2026-08-23T04:00Z,map,yukina-kobe-akashi,1
2026-08-23T04:00Z,map,yukina-kyoto,3
2026-08-23T04:00Z,map,yukina-morioka,1
2026-08-23T04:00Z,map,yukina-nagoya,2
2026-08-23T04:00Z,map,yukina-northern-kyushu,1
2026-08-23T04:00Z,map,yukina-okayama,1
2026-08-23T04:00Z,map,yukina-okinawa,1
2026-08-23T04:00Z,map,yukina-osaka,1
2026-08-23T04:00Z,map,yukina-pl-gdansk,1
2026-08-23T04:00Z,map,yukina-pl-katowice-gzm,2
2026-08-23T04:00Z,map,yukina-pl-krakow,1
2026-08-23T04:00Z,map,yukina-pl-lodz,1
2026-08-23T04:00Z,map,yukina-pl-warszawa,2
2026-08-23T04:00Z,map,yukina-sapporo-chitose,1
2026-08-23T04:00Z,map,yukina-sendai,2
2026-08-23T04:00Z,map,yukina-tokyo,2
2026-08-23T04:00Z,map,yukina-tw-kaohsiung,1
2026-08-23T04:00Z,map,yukina-tw-southern-taiwan,1
2026-08-23T04:00Z,map,yukina-tw-taichung,1
2026-08-23T04:00Z,map,yukina-tw-tainan,1
2026-08-23T04:00Z,map,yukina-tw-taipei,2
