listing_type,listing_id,version,credited_author_id
map,tel-aviv,v2.0.0,BarKuperman
map,tel-aviv,v2.0.1,BarKuperman
map,tijuana-san-diego,1.0.0,rslurry
map,tijuana-san-diego,1.0.1,rslurry
map,tijuana-san-diego,1.0.2,rslurry
map,tijuana-san-diego,1.1.1,rslurry
map,toledo-oh,1.0.0,bean1322
map,toronto,1.0.1,devenperez
map,toronto,1.1.3,devenperez
map,toronto,2.0.2,devenperez
map,toronto,2.1.0,devenperez
map,toulouse,v1.0.0,pierreggt
map,tri-cities,1.0.0,ryandicicco
map,tri-cities,1.0.1,ryandicicco
map,tri-cities,1.0.2,ryandicicco
map,tri-cities,1.1.0,ryandicicco
map,tri-cities,1.1.1,ryandicicco
map,tri-cities,1.2.0,ryandicicco
map,tromso-no,1.0.0,rslurry
map,tromso-no,1.1.0,rslurry
map,trondheim-no,1.0.0,rslurry
map,trondheim-no,1.1.0,rslurry
map,trondheim-val,1.0.0,Valdotorium
map,trujillo,1.0.0,kaicardenas0618
map,turin,1.0.0,Maximilian284
map,turin,1.1.0,Maximilian284
map,ulsan-3,0.1.0,kimth9
map,ulsan-3,0.1.1,kimth9
map,ulsan-3,0.2.0,kimth9
map,ulsan-4,0.1.0,kimth9
map,ulsan-4,0.1.1,kimth9
map,ulsan-4,0.2.0,kimth9
map,valencia,1.0.0,Maximilian284
map,valencia,1.0.1,Maximilian284
map,valencia,1.0.2,Maximilian284
map,valencia,1.1.0,Maximilian284
map,vancouver,1.0.1,devenperez
map,vancouver,1.1.3,devenperez
map,vancouver,2.0.1,devenperez
map,vancouver,2.1.0,devenperez
map,warsaw-val,1.0.0,Valdotorium
map,waterloo,1.0.0,Kronifer
map,waterloo,1.0.1,Kronifer
map,waterloo,1.1.0,Kronifer
map,willamette-valley,1.0.0,Phineapoo
map,wilmington-nc,1.0.0,PSWBSF
map,wilmington-nc,v1.0.0,PSWBSF
map,winnipeg,1.0.1,devenperez
map,winnipeg,1.1.3,devenperez
map,winnipeg,2.0.1,devenperez
map,winnipeg,2.1.0,devenperez
map,yukina-akita,0.1.0,ahkimn
map,yukina-akita,0.1.1,ahkimn
map,yukina-asahikawa,0.1.0,ahkimn
map,yukina-asahikawa,0.1.1,ahkimn
map,yukina-asahikawa,0.2.0,ahkimn
map,yukina-asahikawa,0.2.1,ahkimn
map,yukina-asahikawa,0.2.2,ahkimn
map,yukina-bydgoszcz-torun,0.1.0,ahkimn
map,yukina-bydgoszcz-torun,0.2.0,ahkimn
map,yukina-bydgoszcz-torun,0.2.1,ahkimn
map,yukina-bydgoszcz-torun,0.3.0,ahkimn
map,yukina-bydgoszcz-torun,0.4.0,ahkimn
map,yukina-cz-brno,0.1.0,ahkimn
map,yukina-cz-brno,0.1.1,ahkimn
map,yukina-cz-brno,0.2.0,ahkimn
