rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
105,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,364,364,snapshot_2026_07_27.json
106,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,361,361,snapshot_2026_07_27.json
107,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,358,358,snapshot_2026_07_27.json
108,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,356,356,snapshot_2026_07_27.json
109,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,356,356,snapshot_2026_07_27.json
110,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,350,350,snapshot_2026_07_27.json
111,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,349,349,snapshot_2026_07_27.json
112,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,331,331,snapshot_2026_07_27.json
113,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,319,319,snapshot_2026_07_27.json
114,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,314,314,snapshot_2026_07_27.json
115,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,313,313,snapshot_2026_07_27.json
116,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,309,309,snapshot_2026_07_27.json
117,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,306,306,snapshot_2026_07_27.json
118,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,302,302,snapshot_2026_07_27.json
119,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,300,300,snapshot_2026_07_27.json
120,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,292,292,snapshot_2026_07_27.json
121,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,265,265,snapshot_2026_07_27.json
122,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,259,259,snapshot_2026_07_27.json
123,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,253,253,snapshot_2026_07_27.json
124,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,252,252,snapshot_2026_07_27.json
125,map,cape-town,Cape Town,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,248,248,snapshot_2026_07_27.json
126,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,246,246,snapshot_2026_07_27.json
127,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,241,241,snapshot_2026_07_27.json
128,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,237,237,snapshot_2026_07_27.json
129,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,236,236,snapshot_2026_07_27.json
130,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,233,233,snapshot_2026_07_27.json
131,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,232,232,snapshot_2026_07_27.json
132,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,230,230,snapshot_2026_07_27.json
133,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,230,230,snapshot_2026_07_27.json
