rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
73,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FUK,JP,1849024,31658,8852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KHH,TW,1830423,32624,9576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SPK,JP,1821360,38051,14966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,ESVA,ES,1813405,53429,3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,cape-town,Cape Town,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,CPT,ZA,1781374,36150,24313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,NAP,IT,1695981,21250,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,MCO,US,1686299,100949,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,YVR,CA,1677021,13943,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,OSL,NO,1651196,73636,25220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,TPA,US,1609875,60755,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
