rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
31,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,159,159,1837,1837,1678,1678,snapshot_2026_09_06.json,snapshot_2026_08_23.json
32,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,151,151,1812,1812,1661,1661,snapshot_2026_09_06.json,snapshot_2026_08_23.json
33,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,148,148,4372,4372,4224,4224,snapshot_2026_09_06.json,snapshot_2026_08_23.json
34,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,128,128,2512,2512,2384,2384,snapshot_2026_09_06.json,snapshot_2026_08_23.json
35,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,128,128,1675,1675,1547,1547,snapshot_2026_09_06.json,snapshot_2026_08_23.json
36,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,119,119,3754,3754,3635,3635,snapshot_2026_09_06.json,snapshot_2026_08_23.json
37,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,119,119,176,176,57,57,snapshot_2026_09_06.json,snapshot_2026_08_23.json
38,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,111,111,2422,2422,2311,2311,snapshot_2026_09_06.json,snapshot_2026_08_23.json
39,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,107,107,2759,2759,2652,2652,snapshot_2026_09_06.json,snapshot_2026_08_23.json
40,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,97,97,2576,2576,2479,2479,snapshot_2026_09_06.json,snapshot_2026_08_23.json
41,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,95,95,3003,3003,2908,2908,snapshot_2026_09_06.json,snapshot_2026_08_23.json
42,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,95,95,238,238,143,143,snapshot_2026_09_06.json,snapshot_2026_08_23.json
43,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,90,90,1138,1138,1048,1048,snapshot_2026_09_06.json,snapshot_2026_08_23.json
44,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,89,89,1869,1869,1780,1780,snapshot_2026_09_06.json,snapshot_2026_08_23.json
45,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,84,84,348,348,264,264,snapshot_2026_09_06.json,snapshot_2026_08_23.json
46,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,80,80,147,147,67,67,snapshot_2026_09_06.json,snapshot_2026_08_23.json
47,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,75,75,474,474,399,399,snapshot_2026_09_06.json,snapshot_2026_08_23.json
48,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,69,69,8108,8108,8039,8039,snapshot_2026_09_06.json,snapshot_2026_08_23.json
49,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,68,68,1113,1113,1045,1045,snapshot_2026_09_06.json,snapshot_2026_08_23.json
50,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,66,66,985,985,919,919,snapshot_2026_09_06.json,snapshot_2026_08_23.json
51,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,63,63,703,703,640,640,snapshot_2026_09_06.json,snapshot_2026_08_23.json
52,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,61,61,1334,1334,1273,1273,snapshot_2026_09_06.json,snapshot_2026_08_23.json
